status,sense,emotion
satisfied,peaceful,tranquil
satisfied,peaceful,trusting
satisfied,refreshed,enlivened
satisfied,refreshed,rejuvenated
satisfied,refreshed,renewed
satisfied,refreshed,rested
satisfied,refreshed,restored
satisfied,refreshed,revived
unsatisfied,afraid,apprehensive
unsatisfied,afraid,dread
unsatisfied,afraid,foreboding
unsatisfied,afraid,frightened
unsatisfied,afraid,mistrustful
unsatisfied,afraid,panicked
unsatisfied,afraid,petrified
unsatisfied,afraid,scared
unsatisfied,afraid,suspicious
unsatisfied,afraid,terrified
unsatisfied,afraid,wary
unsatisfied,afraid,worried
unsatisfied,annoyed,aggravated
unsatisfied,annoyed,dismayed
unsatisfied,annoyed,disgruntled
unsatisfied,annoyed,displeased
unsatisfied,annoyed,exasperated
unsatisfied,annoyed,frustrated
unsatisfied,annoyed,impatient
unsatisfied,annoyed,irritated
unsatisfied,annoyed,irked
unsatisfied,angry,enraged
unsatisfied,angry,furious
unsatisfied,angry,incensed
unsatisfied,angry,indignant
unsatisfied,angry,irate
unsatisfied,angry,livid
unsatisfied,angry,outraged
unsatisfied,angry,resentful
unsatisfied,aversion,animosity
unsatisfied,aversion,appalled
unsatisfied,aversion,contempt
unsatisfied,aversion,disgusted
unsatisfied,aversion,dislike
unsatisfied,aversion,hate
unsatisfied,aversion,horrified
unsatisfied,aversion,hostile
unsatisfied,aversion,repulsed
unsatisfied,confused,ambivalent
unsatisfied,confused,baffled
unsatisfied,confused,bewildered
unsatisfied,confused,dazed
unsatisfied,confused,hesitant
unsatisfied,confused,lost
unsatisfied,confused,mystified
unsatisfied,confused,perplexed
unsatisfied,confused,puzzled
unsatisfied,confused,torn
unsatisfied,disconnected,alienated
unsatisfied,disconnected,aloof
unsatisfied,disconnected,apathetic
unsatisfied,disconnected,bored
unsatisfied,disconnected,cold
unsatisfied,disconnected,detached
unsatisfied,disconnected,distant
unsatisfied,disconnected,distracted
unsatisfied,disconnected,indifferent
unsatisfied,disconnected,numb
unsatisfied,disconnected,removed
unsatisfied,disconnected,uninterested
unsatisfied,disconnected,withdrawn
unsatisfied,disquiet,agitated
unsatisfied,disquiet,alarmed
unsatisfied,disquiet,discombobulated
unsatisfied,disquiet,disconcerted
unsatisfied,disquiet,disturbed
unsatisfied,disquiet,perturbed
unsatisfied,disquiet,rattled
unsatisfied,disquiet,restless
unsatisfied,disquiet,shocked
unsatisfied,disquiet,startled
unsatisfied,disquiet,surprised
unsatisfied,disquiet,troubled
unsatisfied,disquiet,turbulent
unsatisfied,disquiet,turmoil
unsatisfied,disquiet,uncomfortable
unsatisfied,disquiet,uneasy
unsatisfied,disquiet,unnerved
unsatisfied,disquiet,unsettled
unsatisfied,disquiet,upset
unsatisfied,embarrassed,ashamed
unsatisfied,embarrassed,chagrined
unsatisfied,embarrassed,flustered
unsatisfied,embarrassed,guilty
unsatisfied,embarrassed,mortified
unsatisfied,embarrassed,self-conscious
unsatisfied,fatigue,beat
unsatisfied,fatigue,burnt out
unsatisfied,fatigue,depleted
unsatisfied,fatigue,exhausted
unsatisfied,fatigue,lethargic
unsatisfied,fatigue,listless
unsatisfied,fatigue,sleepy
unsatisfied,fatigue,tired
unsatisfied,fatigue,weary
unsatisfied,fatigue,worn out
unsatisfied,pain,agony
unsatisfied,pain,anguished
unsatisfied,pain,bereaved
unsatisfied,pain,devastated
unsatisfied,pain,grief
unsatisfied,pain,heartbroken
unsatisfied,pain,hurt
unsatisfied,pain,lonely
unsatisfied,pain,miserable
unsatisfied,pain,regretful
unsatisfied,pain,remorseful
unsatisfied,sad,depressed
unsatisfied,sad,dejected
unsatisfied,sad,despair
unsatisfied,sad,despondent
unsatisfied,sad,disappointed
unsatisfied,sad,discouraged
unsatisfied,sad,disheartened
unsatisfied,sad,forlorn
unsatisfied,sad,gloomy
unsatisfied,sad,heavy hearted
unsatisfied,sad,hopeless
unsatisfied,sad,melancholy
unsatisfied,sad,unhappy
unsatisfied,sad,wretched
unsatisfied,tense,anxious
unsatisfied,tense,cranky
unsatisfied,tense,distressed
unsatisfied,tense,distraught
unsatisfied,tense,edgy
unsatisfied,tense,fidgety
unsatisfied,tense,frazzled
unsatisfied,tense,irritable
unsatisfied,tense,jittery
unsatisfied,tense,nervous
unsatisfied,tense,overwhelmed
unsatisfied,tense,restless
unsatisfied,tense,stressed out
unsatisfied,vulnerable,fragile
unsatisfied,vulnerable,guarded
unsatisfied,vulnerable,helpless
unsatisfied,vulnerable,insecure
unsatisfied,vulnerable,leery
unsatisfied,vulnerable,reserved
unsatisfied,vulnerable,sensitive
unsatisfied,vulnerable,shaky
unsatisfied,yearning,envious
unsatisfied,yearning,jealous
unsatisfied,yearning,longing
unsatisfied,yearning,nostalgic
unsatisfied,yearning,pining
unsatisfied,yearning,wistful
